server_time,esp_millis,ecg,resp
1759864383.3198185,1401807.0,-1.0,51.0
1759864383.339396,1401827.0,-1.0,51.0
1759864383.3571203,1401847.0,-1.0,50.0
1759864383.3759239,1401867.0,-2.0,48.0
1759864383.3973858,1401887.0,-1.0,46.0
1759864383.4172308,1401907.0,0.0,44.0
1759864383.4398408,1401927.0,-1.0,41.0
1759864383.4649365,1401947.0,-1.0,38.0
1759864383.4776013,1401967.0,0.0,35.0
1759864383.496037,1401987.0,0.0,32.0
1759864383.5157123,1402007.0,-1.0,28.0
1759864383.5359287,1402027.0,-1.0,24.0
1759864383.555737,1402047.0,-1.0,20.0
1759864383.5761952,1402067.0,-1.0,16.0
1759864383.6054025,1402087.0,0.0,12.0
1759864383.6206546,1402107.0,1.0,8.0
1759864383.6361399,1402127.0,-1.0,4.0
1759864383.6576984,1402147.0,-2.0,0.0
1759864383.6759508,1402167.0,-1.0,-4.0
1759864383.7002194,1402187.0,-1.0,-8.0
1759864383.71547,1402207.0,-2.0,-11.0
1759864383.7357633,1402227.0,-1.0,-14.0
1759864383.758647,1402247.0,-1.0,-17.0
1759864383.7876713,1402267.0,-1.0,-20.0
1759864383.801563,1402287.0,0.0,-23.0
1759864383.8250072,1402307.0,0.0,-25.0
1759864383.8446007,1402327.0,1.0,-27.0
1759864383.8559124,1402347.0,0.0,-28.0
1759864383.8754818,1402367.0,0.0,-30.0
1759864383.8960407,1402387.0,1.0,-30.0
1759864383.9174426,1402407.0,3.0,-31.0
1759864383.9395661,1402427.0,3.0,-32.0
1759864383.9576685,1402447.0,2.0,-32.0
1759864383.9758892,1402467.0,1.0,-31.0
1759864383.9956002,1402487.0,1.0,-31.0
1759864384.0191116,1402507.0,1.0,-30.0
1759864384.0356827,1402527.0,1.0,0.0
1759864384.0622015,1402547.0,1.0,0.0
1759864384.0756075,1402567.0,1.0,-1.0
1759864384.0998816,1402587.0,1.0,-1.0
1759864384.1200652,1402607.0,1.0,-2.0
1759864384.1360538,1402627.0,0.0,-2.0
1759864384.1589954,1402647.0,-1.0,-2.0
1759864384.1795104,1402667.0,0.0,-2.0
1759864384.195334,1402687.0,0.0,-2.0
1759864384.217338,1402707.0,-1.0,-2.0
1759864384.2354202,1402727.0,-2.0,-2.0
1759864384.2593093,1402747.0,-1.0,-2.0
1759864384.275889,1402767.0,-1.0,-2.0
1759864384.2962117,1402787.0,-2.0,-2.0
1759864384.3155925,1402807.0,-2.0,-2.0
1759864384.3358493,1402827.0,-1.0,-2.0
1759864384.3558793,1402847.0,-1.0,-2.0
1759864384.3834586,1402867.0,-2.0,-2.0
1759864384.3998742,1402887.0,-2.0,-2.0
1759864384.4204433,1402907.0,-1.0,-2.0
1759864384.436383,1402927.0,0.0,-2.0
1759864384.455981,1402947.0,-1.0,-2.0
1759864384.47617,1402967.0,-2.0,-2.0
1759864384.49624,1402987.0,-1.0,-2.0
1759864384.518681,1403007.0,-1.0,-2.0
